,neg,neu,pos,nns,FRS,Dugast,Herdan,Maas,Summer,cttr,rttr,label
124,0.161,0.659,0.18,13506,63.87,50.51598356209511,0.7789148389911689,0.019795714731967614,0.8964587569571676,15.933767339775159,22.5337498716075,Literary
125,0.117,0.696,0.187,14336,71.58,54.235431241028195,0.7949693205001125,0.018438131256961716,0.9047419503812729,18.7926120287259,26.57676680343994,Literary
126,0.128,0.699,0.173,18131,62.11,56.19623642982089,0.7962015076498831,0.017794785977328254,0.9065291924370581,21.025497398328174,29.73454357635593,Literary
127,0.093,0.755,0.151,2187,78.08,57.38907731935847,0.8387619299067042,0.017424918585730254,0.920975328651426,16.25001050056032,22.980985238597615,Literary
128,0.121,0.698,0.18,26901,69.35,51.181341222155716,0.769205673662193,0.01953837035374746,0.8937297292749826,17.002860490024283,24.045675904129993,Literary
129,0.118,0.697,0.185,19016,73.21,56.783911453440986,0.7987496609196638,0.017610621994927793,0.9077572539799906,21.487518642048105,30.38794028532914,Literary
130,0.116,0.758,0.126,11550,78.38,51.912718012753864,0.7883862437923509,0.019263102343327912,0.9007886148527429,16.80166019739328,23.761135721537787,Literary
131,0.113,0.706,0.181,24094,57.37,50.23542566761559,0.76581559598993,0.019906271056933694,0.8917623286050663,16.128291604693054,22.808848725265047,Literary
132,0.124,0.723,0.153,30318,75.03,49.1894830426053,0.7573987465745471,0.02032954888210257,0.8879278352721116,15.257579503634684,21.577475863025924,Literary
133,0.12,0.69,0.189,13408,79.9,53.68467605491691,0.7934235721268862,0.01862728945178037,0.9038262895666872,18.310789619389148,25.895367017500615,Literary
134,0.102,0.748,0.15,23374,78.38,50.73301426406302,0.7729259836583394,0.019711030667230723,0.8946146891438306,16.404808483338993,23.19990264527121,Literary
135,0.167,0.605,0.227,21392,70.67,53.12894178004493,0.78335892754159,0.01882213284315023,0.9000640799987905,18.44627449591825,26.086971567384516,Literary
136,0.119,0.679,0.202,15079,76.56,53.0140516578656,0.7879653694196644,0.01886292348401618,0.9015101958090361,18.000360997732134,25.456354650604478,Literary
137,0.114,0.764,0.122,5849,86.44,50.730392394560916,0.800044082811623,0.019712049381017907,0.9037111473658545,14.83554841904813,20.980633779460597,Detective and Mystery
138,0.119,0.718,0.163,11553,90.09,49.60550635638243,0.7805067815087756,0.02015905236035024,0.8962117594629165,14.993316153243665,21.203751048864792,Literary
139,0.091,0.764,0.145,17559,80.62,49.390875965506815,0.7705369700460883,0.020246654477202867,0.8926300523964731,15.173108890768466,21.458016376688555,Detective and Mystery
140,0.101,0.692,0.208,30905,68.03,48.54314776841401,0.753328653200999,0.020600229815559645,0.8859115260464101,14.685128139116319,20.76790737952507,Literary
141,0.126,0.688,0.187,19927,77.67,56.006030971702394,0.7959696205293172,0.01785521992274832,0.9063231576490288,20.810362590565987,29.430297013480114,Sea and Adventure
142,0.105,0.676,0.219,10451,69.35,50.990077569357,0.7854148647586158,0.019611658731834528,0.8990449746115946,16.060355719847173,22.712772875544182,Literary
143,0.163,0.618,0.219,12952,58.39,61.20669517342148,0.8204984196119072,0.016338081923335766,0.9174512843483567,23.918349364418933,33.82565406073915,Literary
144,0.122,0.71,0.168,26575,74.93,58.097354768668765,0.7980875026623787,0.01721248762498372,0.9084001700449109,23.33994568910613,33.00766773858534,Literary
145,0.106,0.704,0.189,20813,56.42,57.18935851208127,0.7988994334556686,0.017485770535243018,0.908074606220302,21.999345864602052,31.11177328505668,Literary
146,0.093,0.778,0.129,4552,67.49,60.665421630145296,0.8365801713068235,0.01648385477474518,0.9222155616638213,19.89084575076814,28.129903827807556,Literary
147,0.108,0.701,0.191,32399,72.7,50.44196630813008,0.7604496485874024,0.01982476245853293,0.8901027858879434,16.453550431387526,23.26883416925793,Literary
148,0.1,0.721,0.179,14253,88.67,51.810756252050766,0.7843376926474089,0.019301011456678327,0.8993536542416064,16.95410177810558,23.97672067245072,Love and Romance
149,0.104,0.718,0.178,4960,79.9,55.999513090573494,0.8202054261013789,0.017857298122978357,0.9141767462641701,17.767758131913347,25.127404523116702,Literary
150,0.131,0.735,0.134,20279,81.12,53.20856081598274,0.7851822840497138,0.01879396820106476,0.9007330954418403,18.41379792276919,26.041042757177713,Literary
151,0.13,0.698,0.172,22301,75.54,55.411650647917,0.7910840249769201,0.0180467462764095,0.9043061354686786,20.55543556444847,29.06977575572928,Literary
152,0.131,0.699,0.17,11704,78.99,45.022033606880974,0.7544235484212701,0.02221134675371848,0.8827296118711673,11.780227952853942,16.659758138772684,Literary
153,0.117,0.762,0.121,13521,68.54,50.21750828873298,0.7823958557033965,0.01991337352403772,0.897379713115415,15.47642396304009,21.886968665567263,Literary
154,0.135,0.684,0.181,28672,49.25,49.7852821320944,0.7603057403059782,0.020086257567984003,0.8894722271954987,15.795402767768001,22.338072817323027,Detective and Mystery
155,0.096,0.733,0.171,5277,75.24,53.863111869463246,0.8110541743692257,0.018565581625203734,0.9097384460000592,16.76159249599701,23.70447143481007,Literary
156,0.11,0.717,0.173,31281,75.84,49.53339428172632,0.7588477208533418,0.020188400461967054,0.8887425375313623,15.570622581584066,22.02018562946896,Literary
157,0.103,0.724,0.172,34394,78.99,49.99823367218137,0.7582781373656516,0.020000706556087645,0.8889635678480591,16.036858952552645,22.679543428564333,Literary
158,0.119,0.733,0.147,17652,87.05,49.41715548941045,0.7695572140117944,0.02023588751914887,0.8923185475356841,15.227413540717837,21.534814749146875,Literary
159,0.122,0.747,0.132,13183,72.29,54.825991569376285,0.7993378806982266,0.01823952419966011,0.9066019215617237,19.040951517737252,26.927971876872586,Literary
160,0.08,0.747,0.173,17788,86.23,49.94088898651567,0.7722800583502024,0.020023672391374647,0.893711796283496,15.641713127719107,22.120722843969645,Literary
161,0.095,0.707,0.198,10339,74.22,51.7136609558199,0.7932881014015339,0.019337250187224642,0.9022624707840439,16.258666229796138,22.993226288275135,Literary
162,0.1,0.665,0.235,16663,73.0,51.953167600274185,0.7812860723120606,0.01924810451778348,0.89844520284722,17.281674670304,24.439978699263506,Literary
163,0.122,0.683,0.195,7187,70.36,50.88307532106067,0.7920688766294317,0.019652900177322748,0.9011832524951696,15.542314002042431,21.98015125234966,Literary
164,0.113,0.721,0.166,16834,77.57,53.998858623782446,0.791135063940251,0.018518909945247897,0.9033030598243231,18.858881250560863,26.67048563572685,Western Stories
165,0.105,0.688,0.207,18130,68.84,57.463515700294415,0.8029839978991877,0.01740234630292341,0.9095799606604382,21.83640610252505,30.88134166367754,Literary
166,0.094,0.745,0.161,16069,70.26,53.843604654228585,0.7914506366050749,0.01857230782414686,0.903292383821109,18.655481689070495,26.38283521728643,Literary
167,0.089,0.736,0.175,11175,68.84,48.824326550292206,0.7768694453254661,0.020481593309227428,0.8942803167973141,14.435598327779898,20.415018936116706,Literary
168,0.131,0.74,0.129,8710,74.93,47.65294158799596,0.7762208979914302,0.020985063391173852,0.8929723903416877,13.4499067152513,19.021040489361354,Detective and Mystery
169,0.168,0.689,0.143,2955,74.73,47.22638201690927,0.7964626469340017,0.021174605322125943,0.8994386535932394,12.220611972026287,17.282555191338588,Detective and Mystery
170,0.098,0.76,0.142,14005,76.66,59.04037122785731,0.8127163198382502,0.01693756287779175,0.9137056443020639,22.44850339748039,31.746977959695272,Literary
171,0.118,0.743,0.139,3098,76.96,48.204074859251776,0.7999917369606265,0.020745134159712447,0.9015228350948462,12.752288289671933,18.03445905054565,Detective and Mystery
172,0.131,0.717,0.152,3780,74.32,49.681255998856415,0.8026331376910751,0.02012831559699333,0.9036952992238835,13.747755166411597,19.442261808524062,Detective and Mystery
173,0.109,0.736,0.156,2946,73.81,49.73171969744567,0.8082648601901974,0.020107891021740845,0.9056030021206232,13.36754762399479,18.90456714552168,Detective and Mystery
174,0.108,0.721,0.171,3495,85.62,50.38323758533547,0.8038631696877047,0.019847870996901947,0.9046908338028656,14.242135245368999,20.141420821152707,Literary
175,0.11,0.726,0.164,11822,81.63,56.450832961747864,0.8062686106335818,0.017714530460119494,0.9099789036370538,20.14329131448366,28.486915767774956,Literary
176,0.119,0.67,0.211,35029,68.74,54.450808969416265,0.7788089782117027,0.01836520005720533,0.8995448924734061,20.31602793503696,28.731202239279938,Literary
177,0.111,0.703,0.186,16284,81.53,55.000447769870405,0.7969146159415688,0.018181670159925615,0.9059313122578317,19.48995967313513,27.562965299852394,Western Stories
178,0.133,0.669,0.198,17717,78.48,50.66785279092714,0.7753722951776386,0.01973638006975234,0.8953889811335697,16.2411737690986,22.9684882131174,Literary
179,0.072,0.748,0.18,9911,75.03,51.8915307179292,0.7915012714234769,0.019270967461641808,0.9018097140851774,16.564658415973494,23.42596458794734,Literary
